chapter,typecheck,typecheck_ms,build,build_ms,js_files,test,test_ms,test_count
ch01,0,1940,0,1456,1,0,1,0
ch02,0,2125,0,1806,9,0,105,3
ch03,0,2280,0,1928,9,0,80,3
ch04,0,1991,0,1654,8,0,84,3
ch05,0,1753,0,1771,12,0,96,5
ch06,0,1612,0,1636,8,0,81,4
ch07,0,2052,0,1802,10,0,90,3
ch08,0,1819,0,1681,8,0,141,4
ch09,0,1645,0,1629,6,0,122,5
ch10,0,1861,0,1674,6,0,122,2
ch11,0,1664,0,1910,10,0,186,4
ch12,0,1936,0,1856,10,0,119,4
ch13,0,1734,0,1876,13,0,287,6
ch14,0,1617,0,1791,10,0,81,4
ch15,0,1613,0,3227,12,0,107,5
ch16,0,1582,0,4468,10,0,117,5
ch17,0,5843,0,1807,10,0,78,4
ch18,0,6171,0,1611,12,0,4179,5
ch19,0,4419,0,2040,8,0,116,4
ch20,0,3494,0,2039,8,0,436,4
ch21,0,1908,0,2163,6,0,372,4
ch22,0,1675,0,1795,10,0,116,4
ch23,0,1851,0,2096,18,0,88,8
ch24,0,1798,0,1582,10,0,167,5
ch25,0,1648,0,1920,10,0,94,4
ch26,0,1652,0,1802,14,0,97,6
ch27,0,1932,0,1383,10,0,97,4
ch28,0,1488,0,1912,10,0,80,4
ch29,0,1541,0,900,12,0,82,5
ch30,0,1215,0,794,2,0,210,1
